message_id,cleaned_text,timeline
129458,"توی گوشی بابام ""صادقی لوله کش"" رو دیدم که دیروز سه بار میانگین 25 دقیقه باهاش صحبت کرده.
در حالی که لوله های خونه سالمن.",timeline_1
129460,"پسرداييم براي اولين بار اومده ايران
ديشب نصف نون سنگكك رو خالي خالي خورد :))))",timeline_1
129461,يه نوزاد چهار پنج ماهه تو رستوران بود داشتم براش شكلك درمياوردم، مامانش گفت ببخشيد ميشه زبون درنياريد ياد ميگيره بى ادبيو,timeline_1
129462,اگه بخوام حجم دراما کویین بودن خانوادگیمونو توضیح بدم باید بگم که مامان بزرگم به خواهرم چون چیز میز میبافه گفته میشه برام لیف ببافی؟ بعد که خواهرم بافته گفته عهه چه قشنگ!! بیاین ببرین بذارین تو کمد برا روز کفنم منو باهاش بشورن:)) خواهرمم نشسته گریه کرده:))),timeline_1
129464,"خندم گرفت استاد ویس گذاشته تو گروه چرا تکالیفتون رو حجم ۱ گیگ ۲ گیگ میفرستید با این حال من باز میکنم و تصحیح میکنم
چه حرکت خلاقانه ای زده بودن اما نشد دیگه",timeline_1
129469,"یه بار یکی از همکارام منو کشید کنار.
گفت: نباید اون حرف رو بهت می‌زدم. ببخشید.
بهش گفتم:
زندگی کوتاه‌تر از اینه که ذهنم رو درگیر حرف‌هایی کنم که فردا اثری ندارن. اصلاً یادم نیست چی گفتی.
(یادم بود. دو روز کامل بهش فکر کرده بودم)",timeline_1
129470,خوش به حالتون اگه پدر مادرتون جوری هستن که میتونید الگوی زندگی تون قرارشون بدید. من کاملا فری استایل دارم میرم جلو,timeline_1
129471,"ناهار رفتیم خونه مامان و بابام، دو تا خواهرهام بدون همسرهاشون و منم تنها، مامانم ماهی درست کرده بود و به یاد قدیم‌ها ۵ تایی ناهار خوردیم و معاشرت کردیم.
این مدل جمع شدن بعد از رفتن از خونه خیلی نادره و به نظرم تجربه‌ش خیلی متفاوت، نوستالژی و باحاله.",timeline_1
129474,"بالاخره نوشهر رو کشیدم.
شهری که همه چیز برای من از اونجا شروع شد.",timeline_1
129475,"‌
تف تو ذات اون آدم بی ذاتی که میدونه نمیخواد بمونه ها، ولی میاد یکیو وابسته خودش میکنه
ذوق شو کور میکنه
علاقه شو میگیره
احساس شو نابود میکنه
بعد یه عن دیگه رو جایگزین میکنه و بدون هیچ توضیحی میزاره میره",timeline_1
